( F000-0 "pesquisa é uma coisa que muda a toda hora." )
( F000-1 "no total, serão chamados vinte e seis mil candidatos." )
( F000-2 "o número de convocados por vaga é de doze candidatos." )
( F000-3 "atualmente, esse abatimento é limitado a setenta por cento dos gastos." )
( F000-4 "sandra regina machado: acho que ela enfim criou juízo." )
( F000-5 "eles estão colocando armadilhas nas fazendas onde já ocorreram os ataques." )
( F000-6 "dessas, somente umas trezentas e vinte foram inauguradas em território americano." )
( F000-7 "no total, sete mísseis foram disparados contra o encrave." )
( F000-8 "em florianópolis, foi registrado dois graus celsius na manhã de domingo." )
( F000-9 "as situações ditas embaraçosas são resolvidas com os dados." )
( F000-10 "itamar tem razão de estar exultante como nunca desde que virou presidente." )
( F000-11 "a mãe de todas as reformas é a reforma política." )
( F000-12 "conseguiram eliminar áreas supérfluas ou que antes eram desperdiçadas." )
( F000-13 "uma lata de leite em pó integral vale um ingresso." )
( F000-14 "a maioria dos passageiros do barco naufragado era de crianças." )
( F000-15 "a provável causa do acidente foi excesso de lotação a bordo." )
( F000-16 "não prometo nada, porque não adianta eu prometer e não cumprir." )
( F000-17 "se for eleito, vocês vão ver o meu trabalho." )
( F000-18 "ele era um dos poucos atores negros que tinham espaço." )
( F000-19 "a secretaria estadual de saúde distribuirá cem mil preservativos no carnaval." )
( F000-20 "são essas qualidades que inspiraram o plano real desde a sua criação." )
( F000-21 "todos os batizados são consagrados a deus e devem tender à santidade." )
( F000-22 "'o homem sem qualidades' não é um livro comum." )
( F000-23 "os problemas surgem nas importações diretas via catálogos, por exemplo." )
( F000-24 "lula chegou ao rio com duas horas de atraso." )
( F000-25 "no ano, a taxa é de três vírgula sete por cento." )
( F000-26 "batizado de heitor, o trabalho traz treze faixas compostas pelo guitarrista." )
( F000-27 "já viola levou o terceiro cartão amarelo domingo passado." )
( F000-28 "inflação volta a subir no rio e em são paulo." )
( F000-29 "cinco: freqüentemente responde perguntas antes que elas sejam concluídas." )
( F000-30 "quero estar no grupo e ajudar sempre que necessário." )
( F000-31 "expedito andrelino de souza, cinqüenta e um anos, encarregado de almoxarifado." )
( F000-32 "isso mostra que nossa flutuação cambial suja e voluntariosa foi apenas tolice." )
( F000-33 "nós somos uma espécie de contingente escolhido do povo brasileiro." )
( F000-34 "não é o primeiro carregamento de armas para angola." )
( F000-35 "o dinheiro para pagamento dos policiais militares sairia de verba da prefeitura." )
( F000-36 "até agora, na televisão, eles já somam quatro ministros." )
( F000-37 "pode ser o início de uma campanha de contestação da vitória." )
( F000-38 "da mesma forma, empataram nas finalizações: um a um." )
( F000-39 "o jogador do palmeiras foi o único que lançou três vezes." )
( F000-40 "quanto ao seu próprio time o diagnóstico é menos generoso." )
( F000-41 "não há desculpas para o mau jogo que fizemos contra a arábia." )
( F000-42 "salário real médio do varejo aumenta doze por cento no mês passado." )
( F000-43 "em tóquio, o dólar fechou cotado a noventa e oito ienes." )
( F000-44 "os sobreviventes cremaram seus mortos e procuram reconstruir suas vidas." )
( F000-45 "os dois times perderam uma chance atrás da outra." )
( F000-46 "a geração de zico não seria campeã do mundo." )
( F000-47 "o curso é gratuito e tem a duração de seis meses." )
( F000-48 "assaltava desde os oito anos e meus amigos estão quase todos presos." )
( F000-49 "o mercado de ações vive momentos de plena euforia." )
( F000-50 "a imprensa não se incomodou, nem denunciou esse detalhe." )
( F000-51 "primeiro arredondou a idade do percussionista para cinqüenta anos." )
( F000-52 "os médicos ainda não sabem quanto tempo ele deverá ficar no hospital." )
( F000-53 "o feminino fica em quarto, sua melhor colocação em olimpíadas." )
( F000-54 "o modelo foi reestilizado e ganhou linhas mais agressivas." )
( F000-55 "seu interior, no entanto, lembra o de automóveis japoneses." )
( F000-56 "sete membros do grupo que se opõe à paz continuam presos." )
( F000-57 "os jogadores reclamam do calor, que consideram excessivo dentro do estádio." )
( F000-58 "o limite anterior para estes títulos bancários era de noventa dias." )
( F000-59 "também preparam a transição para o real no caso das aplicações financeiras." )
( F000-60 "há algumas coisas que não podem deixar de serem vistas em paris." )
( F000-61 "há demanda por real, não por dólar, cuja cotação cai." )
( F000-62 "há cento e setenta bilhões de moedas de um centavo em circulação." )
( F000-63 "cada uma delas custa oito décimos de um centavo." )
( F000-64 "o mercado fica de alto risco a curto prazo." )
( F000-65 "a perspectiva continua otimista para o médio e longo prazos." )
( F000-66 "o desafio agora é controlar, com medicamentos, essa secreção." )
( F000-67 "o jogo contra a suécia deixou todo o país preocupado." )
( F000-68 "está instalado na casa do avô de lúcia flexa de lima." )
( F000-69 "funcionários do governo do estado dão orientação técnica aos voluntários." )
( F000-70 "o ministério diz que não foi consultado sobre a transação." )
( F000-71 "este ano a empresa deve perder cerca de sete milhões de dólares." )
( F000-72 "ela começou a tirar fotos ontem em buenos aires." )
( F000-73 "ele se comprometeu a ler e responder parte da minha correspondência." )
( F000-74 "os brasileiros no exterior ganharam um poder aquisitivo sem precedentes." )
( F000-75 "o objetivo é abordar todas as fases da ópera." )
( F000-76 "o curso é diário e tem duração de três meses." )
( F000-77 "os jogadores santistas deixaram o gramado sob vaias da torcida." )
( F000-78 "a torcida voltou a criticar a atual administração e não economizou críticas." )
( F000-79 "a infraero ainda não sabe em qual dos dois aeroportos alexandre embarcou." )
( F000-80 "eles têm interesse na redução das taxas nos empréstimos rurais." )
( F000-81 "ele podia dar explicações práticas para sua preferência por faroestes." )
( F000-82 "longe dos estúdios, também estava longe do controle dos produtores." )
( F000-83 "conversões pelo dólar turismo a mil seiscentos e oitenta reais." )
( F000-84 "o preço do primeiro estágio é de duzentos reais." )
( F000-85 "tentou usar a cruz mas era curta para isto." )
( F000-86 "temos de melhorar a qualidade do ensino, especialmente na escola pública." )
( F000-87 "tenho muita vontade de aprender, mas baixo poder aquisitivo." )
( F000-88 "taborda pegou as assinaturas na manhã do dia vinte e cinco." )
( F000-89 "também não são recomendáveis os temas de acidentes de automóveis ou alcoolismo." )
( F000-90 "para discutir sobre ecologia e projetos para gerações futuras." )
( F000-91 "um velho trem circula entre os bairros de capivari e abernéssia." )
( F000-92 "gilda portugal gouvêa será delegada do ministério da educação em são paulo." )
( F000-93 "a integração é crucial quando se pensa no mercado externo." )
( F000-94 "programa criado com a ajuda de luxemburgo chega em novembro." )
( F000-95 "dinamizar tais mercados significa coordenar toda a cadeia da carne." )
( F000-96 "o resultado é menor do que a soma das aptidões." )
( F000-97 "o sistema brasileiro se inspirou principalmente no modelo utilizado na frança." )
( F000-98 "já as cadernetas têm apenas hoje como um bom dia para aplicar." )
( F000-99 "viva o discreto presidente do palmeiras, alberto helena junior." )
( F000-100 "nada pior que a aplicação distorcida de uma idéia." )
( F000-101 "rua padre joão manuel, número cento e cinqüenta e quatro." )
( F000-102 "a cópia distribuída demonstra que as correções foram feitas às pressas." )
( F000-103 "os dados são coletados nas juntas comerciais dos estados." )
( F000-104 "é muito interessante ver as mudanças do estilo das mulheres." )
( F000-105 "ele está com o relator, o juiz célio benevides." )
( F000-106 "as importações de maçã argentina não preocupam os plantadores." )
( F000-107 "os laboratórios questionam os cálculos mas não negam aumentos reais." )
( F000-108 "apesar disso, continua ligado ao seu país de origem." )
( F000-109 "o registro do hospital dizia que ele havia fugido." )
( F000-110 "várias agências de são paulo oferecem cursos de língua no japão." )
( F000-111 "juro para capital de giro chega a cento e quarenta por cento ao ano." )
( F000-112 "o tribune sugere que o acordo foi lesivo para o governo." )
( F000-113 "não posso me imaginar trabalhando em algo sempre igual." )
( F000-114 "o mercosul é um compromisso irreversível do governo brasileiro." )
( F000-115 "a mamata da alfândega foi cinco vezes mais cara." )
( F000-116 "chega a secretário da cultura com amplo apoio de intelectuais e artistas." )
( F000-117 "petista não pode ver orelha de eleitor que dá o maior aluguel." )
( F000-118 "atenção: a partir de sexta estarei no 'caderno copa noventa e quatro'." )
( F000-119 "pelo menos dezenove pessoas ficaram feridas nos dois ataques." )
( F000-120 "os manuais serão vendidos do dia dez a vinte de outubro." )
( F000-121 "a legislação eleitoral em vigor nesses anos vetava contribuições de pessoas jurídicas." )
( F000-122 "o principal segredo para fazer uma boa salada é caprichar no visual." )
( F000-123 "no inverno, esta variação é menor, mas ainda existe." )
( F000-124 "silêncio custa nove mil dólares ao técnico da romênia." )
( F000-125 "fiz o que a maioria procurou fazer: evitei provocar marola." )
( F000-126 "uma versão da história de amor de tristão e isolda." )
( F000-127 "o livro é ilustrado por zélia suassuna, mulher do autor." )
